BORROW,2025-05-26 16:39:10,10000001,alice,210001,DVD Sample1
BORROW,2025-05-26 16:49:00,10000001,alice,210001,DVD Sample1
RETURN,2025-05-26 17:03:09,10000001,alice,210001,DVD Sample1
BORROW,2025-05-26 17:28:08,10000001,alice,210002,DVD Sample2
RETURN,2025-05-26 17:28:29,10000001,alice,210002,DVD Sample2
BORROW,2025-05-26 17:31:56,10000001,alice,110002,PB AA22
RETURN,2025-05-26 17:32:12,10000001,alice,110001,PB AA11
BORROW,2025-05-26 19:39:45,10000001,alice,210002,DVD Sample2
RETURN,2025-05-26 19:40:01,10000001,alice,210002,DVD Sample2
BORROW,2025-05-27 12:48:48,10000001,alice,11000003,Ha
BORROW,2025-05-27 12:49:13,10000001,alice,11000002,PB AA22
RETURN,2025-05-27 12:49:47,10000001,alice,11000002,PB AA22
